id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1744	sustainable development goal	0.3529	0.6394	1	36	54	6	2024.1667	96.1667	4.7444
1781	teaching	-0.1004	0.151	1	52	104	13	2023.0769	15.6154	0.9068
1836	training	0.5801	-0.275	2	46	72	7	2022.5714	3.7143	0.1777
1842	transformational leadership	-1.1156	-0.3331	4	9	9	5	2023.4	5	0.6247
1852	turnover intention	-1.0272	-0.0929	4	17	23	12	2022.8333	5.25	0.3656
1865	united nations	0.4582	0.7442	1	32	50	5	2021	198.2	5.8308
1869	universities	-0.5301	-0.6177	3	34	83	6	2024.3333	15.6667	0.6509
1870	university	-0.3526	-0.6834	3	45	125	10	2023.9	11.5	0.4704
1936	work engagement	-0.848	-0.4705	4	28	44	16	2021.875	36.375	1.2752
1937	work environment	0.0989	-0.6275	4	26	42	5	2020.4	5.8	0.2079
1950	work-life balance	-0.418	-0.2038	4	42	67	15	2022.6	7.0667	0.3219
1982	young adult	-0.1868	-0.6432	3	45	106	7	2023.7143	305.1429	7.1485
